"School Name","Official School Name","Address Line1","Address Line2","City","State","Zip Code 5","Zip Code 4","Mailing Address Line1","Mailing Address Line2","Mailing City","Mailing State","Mailing Zip Code 5","Mailing Zip Code 4","LEA Number","School Number","Federal School Number"
"North Carolina Cyber Academy","North Carolina Cyber Academy","2800 Meridian Parkway","Suite 150","Durham","NC","27713","-","-","-","-","-","-","-","00A","00A000","370038603361"
"NC Virtual Academy","NC Virtual Academy","4220 NC Highway 55","Suite 130","Durham","NC","27713","-","-","-","-","-","-","-","00B","00B000","370039803362"
"ABSS Early College at ACC","ABSS Early College at ACC","1247 Jimmie Kerr Road","-","Graham","NC","27253","-","PO Box 8000","-","Graham","NC","27253","-","010","010303","370003002972"
"Alexander Wilson Elementary","Alexander Wilson Elementary","2518 NC 54","-","Graham","NC","27253","-","-","-","-","-","-","-","010","010304","370003000001"
"Altamahaw-Ossipee Elementary","Altamahaw-Ossipee Elementary","2832 N NC 87","-","Elon","NC","27244","-","-","-","-","-","-","-","010","010308","370003000002"
"Broadview Middle","Broadview Middle","2229 Broadview Drive","-","Burlington","NC","27217","4303","-","-","-","-","-","-","010","010310","370003000196"
"Career and Technical Education Center","Career and Technical Education Center","2550 Buckingham Road","-","Burlington","NC","27217","-","-","-","-","-","-","-","010","010311","370003003171"
"Highland Elementary","Highland Elementary","3720 Bonnar Bridge Parkway","-","Burlington","NC","27215","-","-","-","-","-","-","-","010","010312","370003002838"
"E M Yoder Elementary","E M Yoder Elementary","301 N Charles Street","-","Mebane","NC","27302","2328","-","-","-","-","-","-","010","010320","370003000005"
"Eastern Alamance High","Eastern Alamance High","4040 Mebane Rogers","-","Mebane","NC","27302","9729","-","-","-","-","-","-","010","010324","370003000006"
"Eastlawn Elementary","Eastlawn Elementary","502 N Graham Hopedale Road","-","Burlington","NC","27217","2945","-","-","-","-","-","-","010","010326","370003000197"
"Edwin M Holt Elementary","Edwin M Holt Elementary","4751 S NC 62","-","Burlington","NC","27215","-","-","-","-","-","-","-","010","010328","370003000007"
"Elon Elementary","Elon Elementary","720 Walker Road","-","Elon","NC","27244","9304","-","-","-","-","-","-","010","010340","370003000008"
"B. Everett Jordan Elementary","B. Everett Jordan Elementary","5827 Church Road","-","Graham","NC","27253","9145","-","-","-","-","-","-","010","010346","370003000003"
